index,country_fullname,podcast_id,im_name_label,summary_label,summary_label_en_cleaned,link_attributes_href,feedurl,artwork,summary_label_en_cleaned_brief,hover_text,x,y
0,China,799279397,环球故事会,"形形色色的人生, 五味杂成的故事, 百转千回更令人回味. 每周一至周五上午10点, 听段淳给您讲故事. 关注微信订阅号 CRI Podcast 及时了解节目更新动态.","4. The life of all kinds of life, the story of mixed tastes, and the thousands of turns are more evocative. Every Monday to Friday at 10 am, I will tell you a story. Follow WeChat subscription number CRI Podcast to learn about program updates.",https://podcasts.apple.com/cn/podcast/%E7%8E%AF%E7%90%83%E6%95%85%E4%BA%8B%E4%BC%9A/id799279397?uo=2,http://feed.cri.cn/rss/6720a782-79df-4028-a978-0e6d65623b5c,https://is3-ssl.mzstatic.com/image/thumb/Music113/v4/7b/fb/8b/7bfb8b93-9542-27f3-0f06-0b7d24b76d03/source/600x600bb.jpg,"4. The life of all kinds of life, the story of<br>mixed tastes, and the thousands of turns are more<br>evocative. Every Monday to Friday at 10 am, I will<br>tell you a story. ...","环球故事会<br>4. The life of all kinds of life, the story of<br>mixed tastes, and the thousands of turns are more<br>evocative. Every Monday to Friday at 10 am, I will<br>tell you a story. ...",-4.1256924,9.416369
1,China,1256399960,故事 FM,"欢迎收听故事 FM . 在这里, 我们用你的声音, 讲述你的故事. 每周一, 三, 五, 同步更新.","Welcome to the story FM. Here, we use your voice to tell your story. Every Monday, Wednesday, Friday, sync updates.",https://podcasts.apple.com/cn/podcast/%E6%95%85%E4%BA%8B-fm/id1256399960?uo=2,http://storyfm.cn/feed/episodes,https://is5-ssl.mzstatic.com/image/thumb/Music123/v4/cd/c6/9d/cdc69d87-7cfa-cafb-ab9b-77c4c79d9496/source/600x600bb.jpg,"Welcome to the story FM. Here, we use your voice<br>to tell your story. Every Monday, Wednesday,<br>Friday, sync updates. ...","故事 FM<br>Welcome to the story FM. Here, we use your voice<br>to tell your story. Every Monday, Wednesday,<br>Friday, sync updates. ...",-1.7293928,11.280135
2,China,1030448996,博物志,bowuzhi.fm 一档关于博物馆的播客.,Bowuzhi.fm A podcast about the museum.,https://podcasts.apple.com/cn/podcast/%E5%8D%9A%E7%89%A9%E5%BF%97/id1030448996?uo=2,https://feeds.fireside.fm/museelogue/rss,https://is5-ssl.mzstatic.com/image/thumb/Music113/v4/da/25/c1/da25c1fa-c092-799d-4fa5-b21c77637093/source/600x600bb.jpg,Bowuzhi.fm A podcast about the museum. ...,博物志<br>Bowuzhi.fm A podcast about the museum. ...,-14.72701,7.485819
3,China,793040690,Round Table China,"Round Table is the premiere English talk show that debates issues affecting China. The show shines with its three hosts who come from diverse backgrounds and offer bold as well as researched discussion on some of the hottest topics headlining in the Middle Kingdom. Everything from economic regulation to social issues, cultural differences to gender differences, the RT team has you covered with comprehensive information and addicting charisma.","Round Table is the premiere English talk show that debates issues affecting China. The show shines with its three hosts who come from diverse backgrounds and offer bold as well as researched discussion on some of the hottest topics headlining in the Middle Kingdom. Everything from economic regulation to social issues, cultural differences to gender differences, the RT team has you covered with comprehensive information and addicting charisma.",https://podcasts.apple.com/cn/podcast/round-table-china/id793040690?uo=2,https://aezfm.meldingcloud.com/rss/program/11,https://is5-ssl.mzstatic.com/image/thumb/Music113/v4/a2/c0/36/a2c036de-eaef-5712-f994-37b6a832f799/source/600x600bb.jpg,Round Table is the premiere English talk show that<br>debates issues affecting China. The show shines<br>with its three hosts who come from diverse<br>backgrounds and offer bold as well as researched<br>discussion on some of the hottest topics<br>headlining in the Middle Kingdom. ...,Round Table China<br>Round Table is the premiere English talk show that<br>debates issues affecting China. The show shines<br>with its three hosts who come from diverse<br>backgrounds and offer bold as well as researched<br>discussion on some of the hottest topics<br>headlining in the Middle Kingdom. ...,3.9802098,-10.737782
4,China,786823901,轻阅读,"所有的好书都在这里等你, 轻阅读, 你的私人电台书房. ""轻阅读""由中国国际广播电台华语环球广播中心出品, 是一档文化分享类节目. 我们邀请各界嘉宾分享阅读, 交流观点, 全方位, 多角度地展示当代中国文化.","All good books are waiting for you here, light reading, your private radio study. ""Light reading"" is produced by China Radio International Chinese Broadcasting Center and is a cultural sharing program. We invite guests from all walks of life to share reading, exchange ideas, and provide a comprehensive and multi-faceted display of contemporary Chinese culture.",https://podcasts.apple.com/cn/podcast/%E8%BD%BB%E9%98%85%E8%AF%BB/id786823901?uo=2,http://feed.cri.cn/rss/31295a33-de9b-409a-82ce-7905207f6c00,https://is2-ssl.mzstatic.com/image/thumb/Music128/v4/e8/e1/a1/e8e1a131-ea12-71d8-d1b9-6694b2bd2005/source/600x600bb.jpg,"All good books are waiting for you here, light<br>reading, your private radio study. ""Light reading""<br>is produced by China Radio International Chinese<br>Broadcasting Center and is a cultural sharing<br>program. ...","轻阅读<br>All good books are waiting for you here, light<br>reading, your private radio study. ""Light reading""<br>is produced by China Radio International Chinese<br>Broadcasting Center and is a cultural sharing<br>program. ...",-7.151403,11.211486
5,China,1243945491,文化土豆 Culture Potato,"文化土豆 Culture Potato 是 @益康糯米 主持的文艺潮流圆桌节目, 每周和两位朋友讨论最近看过的影视佳作, 每月一次的误读会讨论文学经典, 不定期还有会讨论思想和艺术类话题. 文化土豆是苹果 iTunes 评选的 2017 最佳新播客 和 2018 最佳播客奖项得主. 官网:","Culture Potato is a literary trend round table program hosted by @益康糯米. It discusses the recent film and television masterpieces with two friends. The monthly misreading will discuss literary classics, and occasionally discuss ideas and art. Class topic. Culture Potato is the 2017 Best New Podcast and 2018 Best Podcast Winner of Apple's iTunes Awards. Official website:",https://podcasts.apple.com/cn/podcast/%E6%96%87%E5%8C%96%E5%9C%9F%E8%B1%86-culture-potato/id1243945491?uo=2,http://www.spreaker.com/show/2571819/episodes/feed,https://is2-ssl.mzstatic.com/image/thumb/Music113/v4/02/3e/f3/023ef3f9-e376-d9b1-388f-31de74594ff7/source/600x600bb.jpg,"Culture Potato is a literary trend round table<br>program hosted by @益康糯米. It discusses the recent<br>film and television masterpieces with two friends.<br>The monthly misreading will discuss literary<br>classics, and occasionally discuss ideas and art.<br>Class topic. ...","文化土豆 Culture Potato<br>Culture Potato is a literary trend round table<br>program hosted by @益康糯米. It discusses the recent<br>film and television masterpieces with two friends.<br>The monthly misreading will discuss literary<br>classics, and occasionally discuss ideas and art.<br>Class topic. ...",-14.722195,6.4552574
6,China,278981407,Stuff You Should Know,"If you've ever wanted to know about champagne, satanism, the Stonewall Uprising, chaos theory, LSD, El Nino, true crime and Rosa Parks then look no further. Josh and Chuck have you covered.","If you've ever wanted to know about champagne, satanism, the Stonewall Uprising, chaos theory, LSD, El Nino, true crime and Rosa Parks then look no further. Josh and Chuck have you covered.",https://podcasts.apple.com/cn/podcast/stuff-you-should-know/id278981407?uo=2,https://feeds.megaphone.fm/stuffyoushouldknow,https://is2-ssl.mzstatic.com/image/thumb/Music113/v4/88/c5/f9/88c5f9f6-1342-99dd-2521-bc881d92790b/source/600x600bb.jpg,"If you've ever wanted to know about champagne,<br>satanism, the Stonewall Uprising, chaos theory,<br>LSD, El Nino, true crime and Rosa Parks then look<br>no further. ...","Stuff You Should Know<br>If you've ever wanted to know about champagne,<br>satanism, the Stonewall Uprising, chaos theory,<br>LSD, El Nino, true crime and Rosa Parks then look<br>no further. ...",3.32855,-6.8897147
7,China,1358602158,听见,"""听见""是中国国际广播电台一档访谈类节目, 意为""听别人的故事, 形成对这个时代的见解"". 变迁中的中国, 是一个非常值得关注和记述的样本. 个体是时代的主角, 他们的过去, 现在, 未来构成了当代中国的面貌.","""Hearing"" is an interview program of China Radio International, which means ""listening to other people's stories and forming insights into this era."" China in transition is a sample that deserves much attention and description. Individuals are the protagonists of the times, their past, present, and future constitute the face of contemporary China.",https://podcasts.apple.com/cn/podcast/%E5%90%AC%E8%A7%81/id1358602158?uo=2,http://feed.cri.cn/rss/9b6fda64-be7b-c5e8-1692-d71d83b5ea57,https://is4-ssl.mzstatic.com/image/thumb/Music113/v4/74/fd/ad/74fdad61-5820-62fc-c683-c85b4cbdf38b/source/600x600bb.jpg,"""Hearing"" is an interview program of China Radio<br>International, which means ""listening to other<br>people's stories and forming insights into this<br>era."" China in transition is a sample that<br>deserves much attention and description. ...","听见<br>""Hearing"" is an interview program of China Radio<br>International, which means ""listening to other<br>people's stories and forming insights into this<br>era."" China in transition is a sample that<br>deserves much attention and description. ...",-3.0042236,9.977874
8,China,1119089237,翻转电台Flip Radio,人人都是主播,Everyone is the anchor,https://podcasts.apple.com/cn/podcast/%E7%BF%BB%E8%BD%AC%E7%94%B5%E5%8F%B0flip-radio/id1119089237?uo=2,http://rss.lizhi.fm/rss/1057263.xml,https://is5-ssl.mzstatic.com/image/thumb/Music123/v4/8c/af/1b/8caf1b77-6992-a866-f06f-320460a00fcb/source/600x600bb.jpg,Everyone is the anchor ...,翻转电台Flip Radio<br>Everyone is the anchor ...,11.609706,-14.608274
9,China,354668519,Freakonomics Radio,"Discover the hidden side of everything with Stephen J. Dubner, co-author of the Freakonomics books. Each week, Freakonomics Radio tells you things you always thought you knew (but didn't) and things you never thought you wanted to know (but do) - from the economics of sleep to how to become great at just about anything. Dubner speaks with Nobel laureates and provocateurs, intellectuals and entrepreneurs, and various other underachievers. Special features include series like ""The Secret Life of a C.E.O."" as well as a live game show, ""Tell Me Something I Don't Know.""","Discover the hidden side of everything with Stephen J. Dubner, co-author of the Freakonomics books. Each week, Freakonomics Radio tells you things you always thought you knew (but didn't) and things you never thought you wanted to know (but do) - from the economics of sleep to how to become great at just about anything. Dubner speaks with Nobel laureates and provocateurs, intellectuals and entrepreneurs, and various other underachievers. Special features include series like ""The Secret Life of a C.E.O."" as well as a live game show, ""Tell Me Something I Don't Know.""",https://podcasts.apple.com/cn/podcast/freakonomics-radio/id354668519?uo=2,https://rss.art19.com/freakonomics-radio,https://is1-ssl.mzstatic.com/image/thumb/Music113/v4/8e/5f/f3/8e5ff38a-4281-c4d1-134f-b5ddf19cbcea/source/600x600bb.jpg,"Discover the hidden side of everything with<br>Stephen J. Dubner, co-author of the Freakonomics<br>books. Each week, Freakonomics Radio tells you<br>things you always thought you knew (but didn't)<br>and things you never thought you wanted to know<br>(but do) - from the economics of sleep to how to<br>become great at just about anything. ...","Freakonomics Radio<br>Discover the hidden side of everything with<br>Stephen J. Dubner, co-author of the Freakonomics<br>books. Each week, Freakonomics Radio tells you<br>things you always thought you knew (but didn't)<br>and things you never thought you wanted to know<br>(but do) - from the economics of sleep to how to<br>become great at just about anything. ...",5.143956,-8.509718
